coin,quantity,ps,weight,fv,origin,target
queens diamond jubilee,1,.999,7.96,20,CDN,USD
franklin half dollar,0,.90,12.5,.50,USD,USD
liberty half dollar,1,.90,12.5,.50,USD,USD
morgan silver dollar,1,.90,26.73,1.00,USD,USD
washington quarter,2,.90,6.25,.25,USD,USD
american silver eagle,3,.999,31.10,1.00,USD,USD
2012 AU Koala 1oz,1,.999,31.135,1,AUD,USD
2012 CAN Silver Moose,1,.999,31.1,5,CDN,USD
2012 Chinese Panda,1,.999,31.1,10,CYN,USD
peace dollar,1,.90,26.73,1.00,USD,USD
roosevelt dimes,0,.90,2.5,.10,USD,USD
